PlantDoc Class,Total,Correct,Accuracy (%)
Squash_Powdery_mildew_leaf,130,60,46.2
Corn_Gray_leaf_spot,67,28,41.8
Corn_leaf_blight,194,60,30.9
Apple_leaf,88,26,29.5
Tomato_leaf_late_blight,111,31,27.9
grape_leaf,75,17,22.7
Apple_Scab_Leaf,93,11,11.8
Peach_leaf,112,9,8.0
Tomato_Septoria_leaf_spot,157,12,7.6
Corn_rust_leaf,117,8,6.8
Tomato_Early_blight_leaf,88,6,6.8
grape_leaf_black_rot,79,5,6.3
Apple_rust_leaf,106,4,3.8
Cherry_leaf,57,2,3.5
Raspberry_leaf,119,4,3.4
Soyabean_leaf,65,2,3.1
Bell_pepper_leaf,42,1,2.4
Tomato_mold_leaf,91,2,2.2
Potato_leaf_early_blight,171,3,1.8
Blueberry_leaf,117,2,1.7
Bell_pepper_leaf_spot,83,1,1.2
Potato_leaf_late_blight,208,1,0.5
Tomato_leaf_yellow_virus,238,1,0.4
Strawberry_leaf,96,0,0.0
Tomato_leaf,52,0,0.0
Tomato_leaf_bacterial_spot,110,0,0.0
Tomato_leaf_mosaic_virus,54,0,0.0
Tomato_two_spotted_spider_mites_leaf,2,0,0.0
